"Name";"Typ";"Name_sci";"Name_eng";"Name_alt";"Familie";"Gattung";"Lebensraum";"Lebensraum2";"Lebensraum3";"Lebensraum4"
"Große Brennnessel";"Krautige Pflanzen Wald";"Urtica dioica";"stinging nettle";"Scharfnessel";"Brennnesselgewächse";"Brennnesseln";"Hartholzaue";"Weichholzaue";;
"Winter-Schachtelhalm";"Krautige Pflanzen Wald";"Equisetum hyemale";"winter horsetail";"Tischlerschachtelhalm";"Schachtelhalmgewächse";"Schachtelhalme";"Hartholzaue";;;
"Gewöhnliche Schuppenwurz";"Krautige Pflanzen Wald";"Lathraea squamaria";"common toothwort";;"Sommerwurzgewächse";"Schuppenwurzen";"Hartholzaue";;;
"Gelbes Windröschen";"Krautige Pflanzen Wald";"Anemone ranunculoides";"yellow anemone";"Gelbe Storchblume";"Hahnenfußgewächse";"Windröschen";"Hartholzaue";;;
"Busch-Windröschen";"Krautige Pflanzen Wald";"Anemone nemorosa";"wood anemone";"Hexenblume";"Hahnenfußgewächse";"Windröschen";"Hartholzaue";;;
"Sumpf-Vergissmeinnicht";"Krautige Pflanzen Wald";"Myosotis scorpioides";"water forget-me-not";"Blauer Augentrost";"Raublattgewächse";"Vergissmeinnicht";"Weichholzaue";;;
"Bärlauch";"Krautige Pflanzen Wald";"Allium ursinum";"wild garlic";;"Amaryllisgewächse";"Lauch";"Hartholzaue";;;
"Gefleckter Aronstab";"Krautige Pflanzen Wald";"Arum maculatum";"arum lily, Lords and ladies";"Aronstab";"Aronstabgewächse";"Aronstab";"Hartholzaue";;;
"Einbeere";"Krautige Pflanzen Wald";"Paris quadrifolia";"herb Paris";;"Germergewächse";"Einbeeren";"Hartholzaue";;;
"Scharbockskraut";"Krautige Pflanzen Wald";"Ranunulus ficaria";"lesser celandine";"Feigwurz, Frühlings- Scharbockskraut";"Hahnenfußgewächse";"Ficaria";"Hartholzaue";"Weichholzaue";;
"Purpur-Knabenkraut";"Krautige Pflanzen Wald";"Orchis purpurea";"lady orchid";;"Orchideen";"Knabenkräuter";"Hartholzaue";;;
"Gelbe Teichrose";"Krautige Pflanzen Gewässer und Gewässerufer";"Nuphar lutea";"pond lily";"Gelbe Teichmummel, Mummel, Teichmummel oder Teichkandel";"Seerosengewächse";"Teichrosen";"Stillgewässer";;;
"Seerose";"Krautige Pflanzen Gewässer und Gewässerufer";"Nymphaea alba";"water lily";"Wasserlilie";"Seerosengewächse";"Seerosen";"Stillgewässer";;;
"Wassernuss";"Krautige Pflanzen Gewässer und Gewässerufer";"Trapa natans";"water nut";;"Weiderichgewächse";"Trapa";"Stillgewässer";;;
