"Name";"Typ";"Name_sci";"Name_eng";"Name_alt";"Familie";"Gattung";"Lebensraum";"Lebensraum2";"Lebensraum3";"Lebensraum4"
"Reh";"Säugetiere";"Capreolus capreolus";"roe deer";"Europäisches Reh";"Hirsche (Cervidae)";"Rehe (Capreolus)";"Hartholzaue";"Weichholzaue";"Feuchtwiesen";
"Rothirsch";"Säugetiere";"Cervus elaphus";"red deer";"Edelhirsch";"Hirsche (Cervidae)";"Edelhirsche (Cervus)";"Hartholzaue";"Weichholzaue";;
"Wildschwein";"Säugetiere";"Sus scrofa";"wild boar";"Schwarzwild";"Echte Schweine (Suidae)";"Sus";"Hartholzaue";"Weichholzaue";;
"Baummarder";"Säugetiere";"Martes martes";"pine marten";"Edelmarder";"Marder (Mustelidae)";"Echte Marder (Martes)";"Hartholzaue";;;
"Rotfuchs";"Säugetiere";"Vulpes vulpes";"red fox";;"Hunde (Canidae)";"Vulpes";"Hartholzaue";"Weichholzaue";"Feuchtwiesen";"Magerrasen"
"Wildkatze";"Säugetiere";"Felis silvestris";"european wildcat";"Europäische Wildkatze, Waldkatze";"Katzen (Felidae)";"Echte Katzen (Felis)";"Hartholzaue";;;
"Eichhörnchen";"Säugetiere";"Sciurus vulgaris";"red squirrel";"Eurasisches Eichhörnchen";"Hörnchen (Sciuridae)";"Eichhörnchen (Sciurus)";"Hartholzaue";"Weichholzaue";"Stillgewässer";"Fließgewässer"
"Biber";"Säugetiere";"Castor fiber";"european beaver";"Eurasischer Biber";"Biber (Castoridae)";"Castor";"Weichholzaue";"Stillgewässer";;
"Wasserfledermaus";"Säugetiere";"Myotis daubentonii";"daubenton’s bat";;"Glattnasen (Vespertilionidae)";"Mausohren (Myotis)";"Hartholzaue";"Weichholzaue";"Stillgewässer";
"Bechsteinfledermaus";"Säugetiere";"Myotis bechsteinii";"Bechstein's bat";;"Glattnasen (Vespertilionidae)";"Mausohren (Myotis)";"Hartholzaue";;;
"Großes Mausohr";"Säugetiere";"Myotis myotis";;;"Glattnasen (Vespertilionidae)";"Mausohren (Myotis)";"Hartholzaue";;;
"Eisvogel";"Vögel";"Alcedo atthis";"common kingfisher";;"Eisvögel (Alcedinidae)";"Alcedo";"Fließgewässer";"Weichholzaue";;
"Pirol";"Vögel";"Oriolus oriolus";"eurasian golden oriole";;"Pirole (Oriolidae)";"Eigentliche Pirole (Oriolus)";"Hartholzaue";"Weichholzaue";;
"Haubentaucher";"Vögel";"Podiceps cristatus";"great crested grebe";;"Lappentaucher (Podicipedidae)";"Taucher (Podiceps)";"Stillgewässer";;;
"Schwarzspecht";"Vögel";"Dryocopus martius";"black woodpecker";;"Spechte (Picidae)";"Dryocopus";"Hartholzaue";;;
"Graureiher";"Vögel";"Aredea cinerea";"grey heron";"Fischreiher";"Reiher (Ardeidae)";"Ardea";"Stillgewässer";"Fließgewässer";"Weichholzaue";"Feuchtwiesen"
"Weißstorch";"Vögel";"Ciconia ciconia";"white stork";"Klapperstorch";"Störche (Ciconiidae)";"Weißstorch";"Feuchtwiesen";"Weichholzaue";"Stillgewässer";"Fließgewässer"
"Schwarzmilan";"Vögel";"Milvus migrans";"black kite";"Schwarze Milan";"Habichtartige (Accipitridae)";"Milane (Milvus)";"Hartholzaue";"Weichholzaue";"Stillgewässer";"Fließgewässer"
"Flussregenpfeifer";"Vögel";"Charadrius dubius";"little ringed plover";;"Regenpfeifer (Charadriidae)";"Charadrius";"Fließgewässer";"Stillgewässer";;
"Teichrohrsänger";"Vögel";"Acrocephalus scirpaceus";"common reed warbler";;"Rohrsängerartige (Acrocephalidae)";"Rohrsänger (Acrocephalus)";"Stillgewässer";"Fließgewässer";;
"Kuckuck";"Vögel";"Cuculus canorus";"common cuckoo";;"Kuckucke (Cuculidae)";"Kuckucke (Cuculus)";"Hartholzaue";"Weichholzaue";;
"Krickente";"Vögel";"Anas crecca";"common teal";"Kriekente";"Entenvögel (Anatidae)";"Eigentliche Enten (Anas)";"Stillgewässer";"Fließgewässer";;
"Schnatterente";"Vögel";"Anas strepera";"gadwall";"Mittelente, Knarrente";"Entenvögel (Anatidae)";"Mareca";"Stillgewässer";"Fließgewässer";;
"Schellente";"Vögel";"Bucephala clangula";"common goldeneye";;"Entenvögel (Anatidae)";"Bucephala";"Stillgewässer";"Fließgewässer";;
"Reiherente";"Vögel";"Aythya fuligula";"tufted duck";;"Entenvögel (Anatidae)";"Aythya";"Stillgewässer";"Fließgewässer";;
"Tafelente";"Vögel";"Aythya ferina";"common porchard";;"Entenvögel (Anatidae)";"Aythya";"Stillgewässer";;;
"Zwergtaucher";"Vögel";"Tachybaptus ruficollis";"call duck";;"Lappentaucher (Podicipedidae)";"Tachybaptus";"Stillgewässer";"Fließgewässer";;
"Kormoran";"Vögel";"Phalacrocorax carbo";"great cormorant";;"Kormorane (Phalacrocoracidae)";"Phalacrocorax";"Fließgewässer";"Stillgewässer";;
"Wasserralle";"Vögel";"Rallus aquaticus";"water rail";;"Rallen (Rallidae)";"Rallus";"Stillgewässer";"Fließgewässer";;
"Bekassine";"Vögel";"Gallinago gallinago";"common snipe";;"Schnepfenvögel (Scolopacidae)";"Bekassinen (Gallinago)";"Feuchtwiesen";"Stillgewässer";;
"Lachmöwe";"Vögel";"Larus ridibundus";"Black-headed gull";;"Möwenverwandte (Laridae)";"Chroicocephalus";"Stillgewässer";"Fließgewässer";;
"Flussseeschwalbe";"Vögel";"Sterna hirundo";"common tern";;"Möwenverwandte (Laridae)";"Sterna";"Fließgewässer";"Stillgewässer";;
"Uferschwalbe";"Vögel";"Riparia riparia";"sand martin";;"Schwalben (Hirundinidae)";"Riparia";"Fließgewässer";;;
"Rohrammer";"Vögel";"Emberiza schoeniclus";"common reed bunting";"Rohrspatz";"Emberizidae";"Ammern (Emberiza)";"Stillgewässer";"Feuchtwiesen";;
"Kiebitz";"Vögel";"Vanellus vanellus";"northern lapwing";;"Regenpfeifer (Charadriidae)";"Kiebitze (Vanellus)";"Feuchtwiesen";"Stillgewässer";;
"Mittelspecht";"Vögel";"Dendrocopos medius";"middle spotted woodpecker";;"Spechte (Picidae)";"Leiopicus";"Hartholzaue";;;
"Kleinspecht";"Vögel";"Dedrocopos minor";"lesser spotted woodpecker";;"Spechte (Picidae)";"Dryobates";"Weichholzaue";"Hartholzaue";;
"Grauspecht";"Vögel";"Picus canus";"grey-headed woodpecker";;"Spechte (Picidae)";"Picus";"Hartholzaue";"Weichholzaue";;
"Grünspecht";"Vögel";"Picus viridis";"european green woodpecker";"Grasspecht, Erdspecht";"Spechte (Picidae)";"Picus";"Hartholzaue";;;
"Turteltaube";"Vögel";"Streptopelia turtur";"european turtle dove";;"Tauben (Columbidae)";"Turteltauben (Streptopelia)";"Hartholzaue";"Weichholzaue";;
"Waldkauz";"Vögel";"Strix aluco";"tawny owl";;"Eigentliche Eulen (Strigidae)";"Strix";"Hartholzaue";"Weichholzaue";;
"Baumfalke";"Vögel";"Falco subbuteo";"eurasian hobby";;"Falkenartige (Falconidae)";"Falken (Falco)";"Hartholzaue";"Weichholzaue";"Stillgewässer";
"Waldlaubsänger";"Vögel";"Phylloscopus sibilatrix";"wood warbler";;"Laubsängerartige (Phylloscopidae)";"Laubsänger (Phylloscopus)";"Hartholzaue";;;
"Feldschwirl";"Vögel";"Locustella naevia";"common grasshopper warbler";;"Schwirlverwandte (Locustellidae)";"Schwirle (Locustella)";"Feuchtwiesen";"Stillgewässer";;
"Mönchsgrasmücke";"Vögel";"Sylvia atricapilla";"eurasian blackcap";;"Grasmückenartige (Sylviidae)";"Grasmücken (Sylvia)";"Hartholzaue";"Weichholzaue";;
"Singdrossel";"Vögel";"Turdus philomelos";"song thrush";;"Drosseln (Turdidae)";"Echte Drosseln (Turdus)";"Hartholzaue";"Weichholzaue";;
"Nachtigall";"Vögel";"Luscinia megarhynchos";"nightingale";;"Fliegenschnäpper (Muscicapidae)";"Luscinia";"Weichholzaue";"Hartholzaue";;
"Flussuferläufer";"Vögel";"Actitis hypoleucos";"Common Sandpiper";;"Schnepfenvögel (Scolopacidae)";"Uferläufer (Actitis)";"Fließgewässer";"Stillgewässer";;
"Hohltaube";"Vögel";"Columba oenas";"Stock Dove";;"Tauben (Columbidae)";"Feldtauben";"Hartholzaue";;;
"Blaukelchen";"Vögel";"Luscinia svecica";"Bluethroat";;"Fliegenschnäpper (Muscicapidae)";"Luscinia";"Stillgewässer";"Weichholzaue";"Hartholzaue";
